sample  ,gene,logFC,cell_line,E2_status
Bone.6,57418,3.424635142,ZR751,ED
Bone.6,3397,3.40577716,ZR751,ED
Bone.6,347746,3.163047495,ZR751,ED
Bone.6,6203,3.125518756,ZR751,ED
Bone.6,197342,3.109794057,ZR751,ED
Bone.6,23,2.959488661,ZR751,ED
Bone.6,10919,2.949573482,ZR751,ED
Bone.6,10211,2.830773766,ZR751,ED
Bone.6,3399,2.821903687,ZR751,ED
Bone.6,7407,2.795833452,ZR751,ED
Bone.6,4849,2.783310986,ZR751,ED
Bone.6,3887,2.695400445,ZR751,ED
Bone.6,26121,2.685948126,ZR751,ED
Bone.6,7917,2.667643676,ZR751,ED
Bone.6,6222,2.636719881,ZR751,ED
Bone.6,100169768,2.603492983,ZR751,ED
Bone.6,8449,2.571017043,ZR751,ED
Bone.6,101978785,2.449185124,ZR751,ED
Bone.6,26834,-2.588158946,ZR751,ED
Bone.6,6506,-2.689656444,ZR751,ED
Bone.6,27185,-2.691378662,ZR751,ED
Bone.6,7092,-2.71015015,ZR751,ED
Bone.6,2,-2.711277468,ZR751,ED
Bone.6,715,-2.732579247,ZR751,ED
Bone.6,131873,-2.748509168,ZR751,ED
Bone.6,94160,-2.760574715,ZR751,ED
Bone.6,7399,-2.769262808,ZR751,ED
Bone.6,113146,-2.784033189,ZR751,ED
Bone.6,100189437,-2.784033189,ZR751,ED
Bone.6,91584,-2.791359051,ZR751,ED
Bone.6,196500,-2.81477385,ZR751,ED
Bone.6,9398,-2.833053525,ZR751,ED
Bone.6,4257,-2.854179265,ZR751,ED
Bone.6,117145,-2.856425945,ZR751,ED
Bone.6,80206,-2.856425945,ZR751,ED
Bone.6,2157,-2.857910815,ZR751,ED
Bone.6,8470,-2.880417164,ZR751,ED
Bone.6,23632,-2.892536926,ZR751,ED
Bone.6,196477,-2.902064628,ZR751,ED
Bone.6,64131,-2.902064628,ZR751,ED
Bone.6,283310,-2.908922038,ZR751,ED
Bone.6,8997,-2.918751452,ZR751,ED
Bone.6,105373990,-2.932702989,ZR751,ED
Bone.6,3216,-2.956780393,ZR751,ED
Bone.6,643677,-2.991205634,ZR751,ED
Bone.6,84675,-3.017622648,ZR751,ED
Bone.6,480,-3.022550265,ZR751,ED
Bone.6,121006,-3.022550265,ZR751,ED
Bone.6,55553,-3.030909108,ZR751,ED
Bone.6,3213,-3.123202948,ZR751,ED
Bone.6,84695,-3.153002203,ZR751,ED
Bone.6,91156,-3.167421575,ZR751,ED
Bone.6,3696,-3.167421575,ZR751,ED
Bone.6,8497,-3.168826061,ZR751,ED
Bone.6,338,-3.168826061,ZR751,ED
Bone.6,88,-3.20042745,ZR751,ED
Bone.6,920,-3.20042745,ZR751,ED
Bone.6,374462,-3.20042745,ZR751,ED
Bone.6,8111,-3.214464744,ZR751,ED
Bone.6,4703,-3.222045608,ZR751,ED
Bone.6,146177,-3.222969263,ZR751,ED
Bone.6,114788,-3.222969263,ZR751,ED
Bone.6,3683,-3.25870384,ZR751,ED
Bone.6,477,-3.259048609,ZR751,ED
Bone.6,5858,-3.259048609,ZR751,ED
Bone.6,22885,-3.259048609,ZR751,ED
Bone.6,400618,-3.259319025,ZR751,ED
Bone.6,25775,-3.259319025,ZR751,ED
Bone.6,146723,-3.293163563,ZR751,ED
Bone.6,79628,-3.301626643,ZR751,ED
Bone.6,56977,-3.315380526,ZR751,ED
Bone.6,2312,-3.323155822,ZR751,ED
Bone.6,171024,-3.343309224,ZR751,ED
Bone.6,645202,-3.355822141,ZR751,ED
Bone.6,9201,-3.360100439,ZR751,ED
Bone.6,54549,-3.369595297,ZR751,ED
Bone.6,22844,-3.369595297,ZR751,ED
Bone.6,5629,-3.371309485,ZR751,ED
Bone.6,55259,-3.392439159,ZR751,ED
Bone.6,60676,-3.398219255,ZR751,ED
Bone.6,10566,-3.421846314,ZR751,ED
Bone.6,4744,-3.423226662,ZR751,ED
Bone.6,128102,-3.45057825,ZR751,ED
Bone.6,948,-3.456742042,ZR751,ED
Bone.6,2904,-3.518739083,ZR751,ED
Bone.6,6515,-3.520992381,ZR751,ED
Bone.6,5251,-3.520992381,ZR751,ED
Bone.6,5787,-3.525717509,ZR751,ED
Bone.6,101927853,-3.534112364,ZR751,ED
Bone.6,55384,-3.544078066,ZR751,ED
Bone.6,7135,-3.56812211,ZR751,ED
Bone.6,9369,-3.605563679,ZR751,ED
Bone.6,100506810,-3.613760793,ZR751,ED
Bone.6,55576,-3.639420292,ZR751,ED
Bone.6,586,-3.656055235,ZR751,ED
Bone.6,642587,-3.697842641,ZR751,ED
Bone.6,23345,-3.732709261,ZR751,ED
Bone.6,51816,-3.742605273,ZR751,ED
Bone.6,1769,-3.742605273,ZR751,ED
Bone.6,7091,-3.783117295,ZR751,ED
Bone.6,6262,-3.795508135,ZR751,ED
Bone.6,144568,-3.822522711,ZR751,ED
Bone.6,5304,-3.822522711,ZR751,ED
Bone.6,9844,-3.879683421,ZR751,ED
Bone.6,388697,-3.884983056,ZR751,ED
Bone.6,100288805,-3.892059753,ZR751,ED
Bone.6,56938,-3.993169026,ZR751,ED
Bone.6,3918,-4.007843386,ZR751,ED
Bone.6,146754,-4.03871634,ZR751,ED
Bone.6,2196,-4.104135324,ZR751,ED
Bone.6,57101,-4.142768076,ZR751,ED
Bone.6,2153,-4.226694783,ZR751,ED
Bone.6,347,-4.293663373,ZR751,ED
Bone.6,84530,-4.3665627,ZR751,ED
Bone.6,9383,-4.401887322,ZR751,ED
Bone.6,727832,-4.496465836,ZR751,ED
Bone.6,54768,-4.549759735,ZR751,ED
Bone.6,55567,-4.588521373,ZR751,ED
Bone.6,94025,-4.653586777,ZR751,ED
Bone.6,440730,-4.854838201,ZR751,ED
Bone.6,83872,-4.952341644,ZR751,ED
Bone.6,10071,-5.068736656,ZR751,ED
Bone.5,92815,11.47047076,MCF7,ED
Bone.5,2688,9.609469796,MCF7,ED
Bone.5,83445,9.25488329,MCF7,ED
Bone.5,101954273,7.731546718,MCF7,ED
Bone.5,100873746,7.632470618,MCF7,ED
Bone.5,102724301,7.439855312,MCF7,ED
Bone.5,151174,7.289396422,MCF7,ED
Bone.5,54414,7.251193405,MCF7,ED
Bone.5,79710,7.044690759,MCF7,ED
Bone.5,29844,6.405588378,MCF7,ED
Bone.5,100873757,6.116492938,MCF7,ED
Bone.5,26860,6.115583776,MCF7,ED
Bone.5,26863,6.064050137,MCF7,ED
Bone.5,221442,5.961999592,MCF7,ED
Bone.5,26869,5.815116999,MCF7,ED
Bone.5,5230,5.708572789,MCF7,ED
Bone.5,6060,5.681805578,MCF7,ED
Bone.5,85407,5.600404018,MCF7,ED
Bone.5,26871,5.530745695,MCF7,ED
Bone.5,26870,5.494236911,MCF7,ED
Bone.5,94104,5.410928838,MCF7,ED
Bone.5,100189107,5.36470513,MCF7,ED
Bone.5,50865,5.301634397,MCF7,ED
Bone.5,26864,5.300942334,MCF7,ED
Bone.5,101954269,5.208593776,MCF7,ED
Bone.5,100169760,5.201673264,MCF7,ED
Bone.5,100169765,5.048963426,MCF7,ED
Bone.5,100169766,5.046972307,MCF7,ED
Bone.5,100169764,5.04631255,MCF7,ED
Bone.5,100169768,5.041088055,MCF7,ED
Bone.5,100169767,5.040673782,MCF7,ED
Bone.5,100169761,5.008367079,MCF7,ED
Bone.5,100169763,5.008054701,MCF7,ED
Bone.5,100169762,5.007347265,MCF7,ED
Bone.5,26865,4.975387277,MCF7,ED
Bone.5,103625684,4.85228613,MCF7,ED
Bone.5,8341,4.83990787,MCF7,ED
Bone.5,26866,4.827597599,MCF7,ED
Bone.5,8228,4.764399602,MCF7,ED
Bone.5,8348,4.758931611,MCF7,ED
Bone.5,26855,4.668662099,MCF7,ED
Bone.5,10406,4.66438648,MCF7,ED
Bone.5,53335,4.516255632,MCF7,ED
Bone.5,100500815,4.409432645,MCF7,ED
Bone.5,101954275,4.363036287,MCF7,ED
Bone.5,388228,4.361949601,MCF7,ED
Bone.5,220988,4.299452512,MCF7,ED
Bone.5,8335,4.197730404,MCF7,ED
Bone.5,388698,3.982367623,MCF7,ED
Bone.5,3146,3.78068473,MCF7,ED
Bone.5,64782,3.615439033,MCF7,ED
Bone.5,6029,2.920885688,MCF7,ED
Bone.5,4550,-2.551201393,MCF7,ED
Bone.5,2597,-2.790110728,MCF7,ED
Bone.5,60,-2.806276951,MCF7,ED
Bone.5,4549,-2.812368896,MCF7,ED
Bone.5,26986,-2.840670368,MCF7,ED
Bone.5,1938,-3.144167167,MCF7,ED
Bone.5,26851,-3.283546835,MCF7,ED
Bone.5,780853,-3.287095846,MCF7,ED
Bone.5,780852,-3.30027349,MCF7,ED
Bone.5,2674,-3.326781128,MCF7,ED
Bone.5,6147,-3.346888949,MCF7,ED
Bone.5,7175,-3.358882777,MCF7,ED
Bone.5,79026,-3.38330483,MCF7,ED
Bone.5,6137,-3.384612733,MCF7,ED
Bone.5,204851,-3.394966884,MCF7,ED
Bone.5,81671,-3.427888151,MCF7,ED
Bone.5,83872,-3.520765708,MCF7,ED
Bone.5,1655,-3.528104355,MCF7,ED
Bone.5,6124,-3.540177466,MCF7,ED
Bone.5,3021,-3.577719954,MCF7,ED
Bone.5,3875,-3.582371172,MCF7,ED
Bone.5,8202,-3.635865651,MCF7,ED
Bone.5,10513,-3.636963682,MCF7,ED
Bone.5,2625,-3.73206324,MCF7,ED
Bone.5,2778,-3.802463672,MCF7,ED
Bone.5,10142,-3.8143071,MCF7,ED
Bone.5,7316,-3.854788949,MCF7,ED
Bone.5,4514,-3.866054497,MCF7,ED
Bone.5,6138,-3.874158109,MCF7,ED
Bone.5,3326,-3.903246875,MCF7,ED
Bone.5,81539,-3.928490132,MCF7,ED
Bone.5,780854,-3.970995297,MCF7,ED
Bone.5,6023,-3.974804868,MCF7,ED
Bone.5,2495,-4.023860598,MCF7,ED
Bone.5,64710,-4.065461684,MCF7,ED
Bone.5,23524,-4.077887773,MCF7,ED
Bone.5,7764,-4.082610783,MCF7,ED
Bone.5,226,-4.085676423,MCF7,ED
Bone.5,4512,-4.186433704,MCF7,ED
Bone.5,2316,-4.188191209,MCF7,ED
Bone.5,54843,-4.24212079,MCF7,ED
Bone.5,4536,-4.329267421,MCF7,ED
Bone.5,378938,-4.432357509,MCF7,ED
Bone.5,4540,-4.780945048,MCF7,ED
Bone.5,4513,-4.808413147,MCF7,ED
Bone.5,4519,-4.834417901,MCF7,ED
Bone.5,7812,-4.836954737,MCF7,ED
Bone.5,4566,-4.844738005,MCF7,ED
Bone.5,25800,-4.939447586,MCF7,ED
Bone.5,6130,-5.318544115,MCF7,ED
Bone.5,100302143,-5.585915822,MCF7,ED
Bone.5,677847,-5.586936867,MCF7,ED
Bone.5,4538,-5.716906779,MCF7,ED
Bone.5,5757,-5.811298775,MCF7,ED
Bone.5,4535,-5.838236159,MCF7,ED
Bone.5,4508,-5.949293531,MCF7,ED
Bone.5,23521,-6.060401536,MCF7,ED
Bone.5,4509,-7.003336938,MCF7,ED
Bone.4,101928635,6.564369379,MCF7,E2
Bone.4,10218,6.175967419,MCF7,E2
Bone.4,83733,6.062333731,MCF7,E2
Bone.4,100129075,5.936946451,MCF7,E2
Bone.4,9148,5.789287468,MCF7,E2
Bone.4,5146,5.673931771,MCF7,E2
Bone.4,23581,5.647822702,MCF7,E2
Bone.4,606495,5.530748349,MCF7,E2
Bone.4,100874201,5.458831406,MCF7,E2
Bone.4,56971,5.41121327,MCF7,E2
Bone.4,3400,5.316203915,MCF7,E2
Bone.4,8605,5.285854067,MCF7,E2
Bone.4,53833,5.285854067,MCF7,E2
Bone.4,344807,5.265967156,MCF7,E2
Bone.4,81893,5.259420742,MCF7,E2
Bone.4,387638,5.223173515,MCF7,E2
Bone.4,100505736,5.223173515,MCF7,E2
Bone.4,5329,5.137556664,MCF7,E2
Bone.4,5596,5.105505783,MCF7,E2
Bone.4,219858,5.063912565,MCF7,E2
Bone.4,8404,5.036442572,MCF7,E2
Bone.4,138649,4.981551454,MCF7,E2
Bone.4,2644,4.936997184,MCF7,E2
Bone.4,339883,4.903258736,MCF7,E2
Bone.4,135250,4.901561395,MCF7,E2
Bone.4,81617,4.871134273,MCF7,E2
Bone.4,2184,4.871134273,MCF7,E2
Bone.4,3820,4.815865608,MCF7,E2
Bone.4,128229,4.80150921,MCF7,E2
Bone.4,105377650,4.776174115,MCF7,E2
Bone.4,10668,4.738989882,MCF7,E2
Bone.4,574407,4.722871245,MCF7,E2
Bone.4,93611,4.722835208,MCF7,E2
Bone.4,90632,4.722601641,MCF7,E2
Bone.4,84134,4.629809906,MCF7,E2
Bone.4,8632,4.592799629,MCF7,E2
Bone.4,23710,4.59174462,MCF7,E2
Bone.4,414318,4.59174462,MCF7,E2
Bone.4,631,4.589443171,MCF7,E2
Bone.4,7483,4.588369343,MCF7,E2
Bone.4,116224,4.567348067,MCF7,E2
Bone.4,55848,4.542400707,MCF7,E2
Bone.4,9543,4.539560079,MCF7,E2
Bone.4,79029,4.531932961,MCF7,E2
Bone.4,84465,4.487050366,MCF7,E2
Bone.4,10202,4.480527173,MCF7,E2
Bone.4,554203,4.45617631,MCF7,E2
Bone.4,10609,4.445077489,MCF7,E2
Bone.4,170082,4.445077489,MCF7,E2
Bone.4,26353,4.41310725,MCF7,E2
Bone.4,5317,4.401223088,MCF7,E2
Bone.4,83478,4.382112919,MCF7,E2
Bone.4,201625,4.365929349,MCF7,E2
Bone.4,2274,4.357700008,MCF7,E2
Bone.4,3767,4.317388527,MCF7,E2
Bone.4,284486,4.286803652,MCF7,E2
Bone.4,8820,4.286803652,MCF7,E2
Bone.4,93034,4.273294793,MCF7,E2
Bone.4,93164,4.230521034,MCF7,E2
Bone.4,84791,4.155793094,MCF7,E2
Bone.4,100499467,4.154343494,MCF7,E2
Bone.4,285671,4.145790665,MCF7,E2
Bone.4,144699,4.141369942,MCF7,E2
Bone.4,130367,4.125081731,MCF7,E2
Bone.4,114905,4.125081731,MCF7,E2
Bone.4,29760,4.117684664,MCF7,E2
Bone.4,51233,4.117684664,MCF7,E2
Bone.4,57214,4.095636155,MCF7,E2
Bone.4,5653,4.092125214,MCF7,E2
Bone.4,284541,4.067065061,MCF7,E2
Bone.4,647946,4.067065061,MCF7,E2
Bone.4,101926889,4.067065061,MCF7,E2
Bone.4,100189268,4.067065061,MCF7,E2
Bone.4,100874300,4.067065061,MCF7,E2
Bone.4,3397,4.049596809,MCF7,E2
Bone.4,284408,4.04261001,MCF7,E2
Bone.4,374659,4.021262642,MCF7,E2
Bone.4,100996437,4.018375337,MCF7,E2
Bone.4,57644,4.013578813,MCF7,E2
Bone.4,100874366,4.00642798,MCF7,E2
Bone.4,51265,4.004038722,MCF7,E2
Bone.4,101928834,3.965349285,MCF7,E2
Bone.4,79973,3.965349285,MCF7,E2
Bone.4,103021295,3.921990176,MCF7,E2
Bone.4,26230,3.900155512,MCF7,E2
Bone.4,319085,3.889295076,MCF7,E2
Bone.4,8495,3.881044116,MCF7,E2
Bone.4,105370579,3.855281308,MCF7,E2
Bone.4,100507002,3.855281308,MCF7,E2
Bone.4,101954266,3.844305918,MCF7,E2
Bone.4,389072,3.835796333,MCF7,E2
Bone.4,9501,3.806755744,MCF7,E2
Bone.4,138241,3.799977524,MCF7,E2
Bone.4,554236,3.790955519,MCF7,E2
Bone.4,80162,3.748251249,MCF7,E2
Bone.4,51540,3.746623173,MCF7,E2
Bone.4,57150,3.746584109,MCF7,E2
Bone.4,2257,3.732535939,MCF7,E2
Bone.4,9752,3.731476014,MCF7,E2
Bone.4,93129,3.729494274,MCF7,E2
Bone.4,387640,3.729251588,MCF7,E2
Bone.4,101929196,3.729251588,MCF7,E2
Bone.4,391267,3.714225076,MCF7,E2
Bone.4,90693,3.702042796,MCF7,E2
Bone.4,80035,3.68349383,MCF7,E2
Bone.4,100507316,3.682584355,MCF7,E2
Bone.4,23251,3.678663101,MCF7,E2
Bone.4,285352,3.678663101,MCF7,E2
Bone.4,5698,3.678663101,MCF7,E2
Bone.4,93655,3.678663101,MCF7,E2
Bone.4,27257,3.673749001,MCF7,E2
Bone.4,9479,3.658534246,MCF7,E2
Bone.4,317671,3.640736874,MCF7,E2
Bone.4,10622,3.599076314,MCF7,E2
Bone.4,7851,3.591165279,MCF7,E2
Bone.4,79001,3.575020292,MCF7,E2
Bone.4,200765,3.573870564,MCF7,E2
Bone.4,828,3.55958975,MCF7,E2
Bone.4,100505811,3.55958975,MCF7,E2
Bone.4,84436,3.524111281,MCF7,E2
Bone.4,79689,3.510853775,MCF7,E2
Bone.4,169270,3.498077625,MCF7,E2
Bone.4,57713,3.490277559,MCF7,E2
Bone.4,653145,3.490277559,MCF7,E2
Bone.4,23464,3.490277559,MCF7,E2
Bone.4,3364,3.476107245,MCF7,E2
Bone.4,220042,3.461332256,MCF7,E2
Bone.4,118881,3.454005931,MCF7,E2
Bone.4,84953,3.454005931,MCF7,E2
Bone.4,100506123,3.450993382,MCF7,E2
Bone.4,54947,3.442750853,MCF7,E2
Bone.4,8847,3.426734126,MCF7,E2
Bone.4,54491,3.423122554,MCF7,E2
Bone.4,5316,3.421601707,MCF7,E2
Bone.4,55020,3.418009918,MCF7,E2
Bone.4,10349,3.412919047,MCF7,E2
Bone.4,9108,3.404372208,MCF7,E2
Bone.4,163404,3.402801922,MCF7,E2
Bone.4,27127,3.397397897,MCF7,E2
Bone.4,389170,3.38678006,MCF7,E2
Bone.4,125893,3.382360758,MCF7,E2
Bone.4,353219,3.368985385,MCF7,E2
Bone.4,65989,3.368985385,MCF7,E2
Bone.4,8707,3.365734815,MCF7,E2
Bone.4,634,3.365734815,MCF7,E2
Bone.4,51104,3.365012196,MCF7,E2
Bone.4,80031,3.341191937,MCF7,E2
Bone.4,26796,3.341191937,MCF7,E2
Bone.4,132671,3.341191937,MCF7,E2
Bone.4,64077,3.340722364,MCF7,E2
Bone.4,60386,3.337777208,MCF7,E2
Bone.4,54102,3.333935811,MCF7,E2
Bone.4,3110,3.333935811,MCF7,E2
Bone.4,163786,3.330719615,MCF7,E2
Bone.4,100775107,3.330719615,MCF7,E2
Bone.4,5021,3.321629489,MCF7,E2
Bone.4,8611,3.321629489,MCF7,E2
Bone.4,128240,3.311046846,MCF7,E2
Bone.4,55090,3.305419632,MCF7,E2
Bone.4,64147,3.301849211,MCF7,E2
Bone.4,57103,3.294336019,MCF7,E2
Bone.4,283652,3.292622638,MCF7,E2
Bone.4,136332,3.288697632,MCF7,E2
Bone.4,6940,3.285470757,MCF7,E2
Bone.4,5465,3.273148103,MCF7,E2
Bone.4,105378176,3.272950754,MCF7,E2
Bone.4,29074,3.269463049,MCF7,E2
Bone.4,10398,3.268336057,MCF7,E2
Bone.4,54962,3.253329236,MCF7,E2
Bone.4,819,3.244058729,MCF7,E2
Bone.4,8877,3.243257209,MCF7,E2
Bone.4,55277,3.234987532,MCF7,E2
Bone.4,255252,3.228403595,MCF7,E2
Bone.4,10651,3.227589598,MCF7,E2
Bone.4,102723390,3.22218503,MCF7,E2
Bone.4,65996,3.218580114,MCF7,E2
Bone.4,56624,3.215710204,MCF7,E2
Bone.4,81932,3.20424654,MCF7,E2
Bone.4,55508,3.197738133,MCF7,E2
Bone.4,65258,3.180850585,MCF7,E2
Bone.4,115825,3.164768216,MCF7,E2
Bone.4,51282,3.155291417,MCF7,E2
Bone.4,7753,3.153627104,MCF7,E2
Bone.4,23475,3.145341452,MCF7,E2
Bone.4,92,3.142202444,MCF7,E2
Bone.4,1742,3.140525772,MCF7,E2
Bone.4,10439,3.089989003,MCF7,E2
Bone.4,84288,3.085706355,MCF7,E2
Bone.4,2888,3.085706355,MCF7,E2
Bone.4,203069,3.085706355,MCF7,E2
Bone.4,123720,3.077611542,MCF7,E2
Bone.4,1676,3.074087094,MCF7,E2
Bone.4,23426,3.074087094,MCF7,E2
Bone.4,10172,3.065325693,MCF7,E2
Bone.4,203228,3.065325693,MCF7,E2
Bone.4,57613,3.050950413,MCF7,E2
Bone.4,6482,3.050950413,MCF7,E2
Bone.4,90410,3.043400076,MCF7,E2
Bone.4,6637,3.039623599,MCF7,E2
Bone.4,284454,3.037191975,MCF7,E2
Bone.4,91750,3.0325521,MCF7,E2
Bone.4,51239,3.0325521,MCF7,E2
Bone.4,60370,3.032013803,MCF7,E2
Bone.4,4753,3.032013803,MCF7,E2
Bone.4,54463,3.023823012,MCF7,E2
Bone.4,154796,3.02085072,MCF7,E2
Bone.4,90580,3.019323699,MCF7,E2
Bone.4,4291,3.013912317,MCF7,E2
Bone.4,100507650,2.99682515,MCF7,E2
Bone.4,120,2.991002348,MCF7,E2
Bone.4,100126512,2.989434726,MCF7,E2
Bone.4,5281,2.980331479,MCF7,E2
Bone.4,100129617,2.959243295,MCF7,E2
Bone.4,339803,2.955861614,MCF7,E2
Bone.4,51256,2.955861614,MCF7,E2
Bone.4,130576,2.9395217,MCF7,E2
Bone.4,55107,2.933913827,MCF7,E2
Bone.4,3420,2.933913827,MCF7,E2
Bone.4,11099,2.924377624,MCF7,E2
Bone.4,8702,2.916224703,MCF7,E2
Bone.4,338657,2.909840782,MCF7,E2
Bone.4,51422,2.907207181,MCF7,E2
Bone.4,100132352,2.899596011,MCF7,E2
Bone.4,642236,2.878049557,MCF7,E2
Bone.4,11145,2.873018897,MCF7,E2
Bone.4,151556,2.873018897,MCF7,E2
Bone.4,23378,2.86561431,MCF7,E2
Bone.4,5187,2.859875617,MCF7,E2
Bone.4,55829,2.853202882,MCF7,E2
Bone.4,83590,2.838686716,MCF7,E2
Bone.4,9702,2.820938759,MCF7,E2
Bone.4,6322,2.791836558,MCF7,E2
Bone.4,84532,2.791781497,MCF7,E2
Bone.4,3338,2.791745585,MCF7,E2
Bone.4,8825,2.786260162,MCF7,E2
Bone.4,90637,2.76181941,MCF7,E2
Bone.4,79866,2.760430228,MCF7,E2
Bone.4,84133,2.758438147,MCF7,E2
Bone.4,441191,2.754668403,MCF7,E2
Bone.4,124923,2.748089274,MCF7,E2
Bone.4,1723,2.746283776,MCF7,E2
Bone.4,23035,2.729118743,MCF7,E2
Bone.4,1514,2.725995396,MCF7,E2
Bone.4,29777,2.722197582,MCF7,E2
Bone.4,57505,2.722197582,MCF7,E2
Bone.4,120534,2.713299436,MCF7,E2
Bone.4,100505967,2.711906083,MCF7,E2
